seq,operation,phase,frame,channel,address_offset,write_value,read_mask,expected_value,comparison,EQ,timeout_us,register,description
97,WRITE,refill,7,CH2,0x154,0x0000000F,,,,0,,ENG0_TXDATA0,DATA1=15 bits 31:0
98,WRITE,refill,7,CH2,0x158,0x00000000,,,,0,,ENG0_TXDATA1,DATA1=15 bits 63:32
99,WRITE,refill,7,CH2,0x168,0x00000000,,,,0,,ENG0_TXPUSH_CH2,Commit DATA1 channel
100,WRITE,refill,7,CTL,0x16C,0x00000040,,,,0,,ENG0_TXPUSH_CTL,Commit LEN=64 LOOP=0
101,POLL,clock_check,,,0x218,,0x01000000,0x01000000,masked_eq,1,100,ENG1_SCLK_METER,Wait until VALID is one
102,READ_CHECK,clock_check,,,0x218,,0x00FFFFFF,0x00000190,masked_eq,1,,ENG1_SCLK_METER,Confirm period is 400 PCLK cycles for 1 MHz
103,POLL,rx_wait,0,,0x28C,,0x0000F000,0x00000000,masked_ne,0,100,ENG1_RX_FIFO_STAT,Wait until FRAMES[15:12] is nonzero
104,WRITE,rx_pop,0,CH0,0x294,0x00000001,,,,0,,ENG1_RXPOP_CH0,Pop frame 0 channel 0 into shared RX staging
105,READ_CHECK,rx_read,0,CH0,0x2A0,,0xFFFFFFFF,0x00000001,masked_eq,1,,ENG1_RXDATA0,Check frame 0 channel 0 word 0
106,READ_CHECK,rx_read,0,CH0,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 0 channel 0 word 1
107,READ_CHECK,rx_read,0,CH0,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 0 channel 0 word 2
108,READ_CHECK,rx_read,0,CH0,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 0 channel 0 word 3
109,WRITE,rx_pop,0,CH1,0x298,0x00000001,,,,0,,ENG1_RXPOP_CH1,Pop frame 0 channel 1 into shared RX staging
110,READ_CHECK,rx_read,0,CH1,0x2A0,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA0,Check frame 0 channel 1 word 0
111,READ_CHECK,rx_read,0,CH1,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 0 channel 1 word 1
112,READ_CHECK,rx_read,0,CH1,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 0 channel 1 word 2
113,READ_CHECK,rx_read,0,CH1,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 0 channel 1 word 3
114,WRITE,rx_pop,0,CH2,0x29C,0x00000001,,,,0,,ENG1_RXPOP_CH2,Pop frame 0 channel 2 into shared RX staging
115,READ_CHECK,rx_read,0,CH2,0x2A0,,0xFFFFFFFF,0x00000001,masked_eq,1,,ENG1_RXDATA0,Check frame 0 channel 2 word 0
116,READ_CHECK,rx_read,0,CH2,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 0 channel 2 word 1
117,READ_CHECK,rx_read,0,CH2,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 0 channel 2 word 2
118,READ_CHECK,rx_read,0,CH2,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 0 channel 2 word 3
119,POLL,rx_wait,1,,0x28C,,0x0000F000,0x00000000,masked_ne,0,100,ENG1_RX_FIFO_STAT,Wait until FRAMES[15:12] is nonzero
120,WRITE,rx_pop,1,CH0,0x294,0x00000001,,,,0,,ENG1_RXPOP_CH0,Pop frame 1 channel 0 into shared RX staging
121,READ_CHECK,rx_read,1,CH0,0x2A0,,0xFFFFFFFF,0x00000001,masked_eq,1,,ENG1_RXDATA0,Check frame 1 channel 0 word 0
122,READ_CHECK,rx_read,1,CH0,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 1 channel 0 word 1
123,READ_CHECK,rx_read,1,CH0,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 1 channel 0 word 2
124,READ_CHECK,rx_read,1,CH0,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 1 channel 0 word 3
125,WRITE,rx_pop,1,CH1,0x298,0x00000001,,,,0,,ENG1_RXPOP_CH1,Pop frame 1 channel 1 into shared RX staging
126,READ_CHECK,rx_read,1,CH1,0x2A0,,0xFFFFFFFF,0x00000002,masked_eq,1,,ENG1_RXDATA0,Check frame 1 channel 1 word 0
127,READ_CHECK,rx_read,1,CH1,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 1 channel 1 word 1
128,READ_CHECK,rx_read,1,CH1,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 1 channel 1 word 2
129,READ_CHECK,rx_read,1,CH1,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 1 channel 1 word 3
