seq,operation,phase,frame,channel,address_offset,write_value,read_mask,expected_value,comparison,EQ,timeout_us,register,description
175,READ_CHECK,rx_read,4,CH1,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 4 channel 1 word 1
176,READ_CHECK,rx_read,4,CH1,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 4 channel 1 word 2
177,READ_CHECK,rx_read,4,CH1,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 4 channel 1 word 3
178,WRITE,rx_pop,4,CH2,0x29C,0x00000001,,,,0,,ENG1_RXPOP_CH2,Pop frame 4 channel 2 into shared RX staging
179,READ_CHECK,rx_read,4,CH2,0x2A0,,0xFFFFFFFF,0x00000009,masked_eq,1,,ENG1_RXDATA0,Check frame 4 channel 2 word 0
180,READ_CHECK,rx_read,4,CH2,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 4 channel 2 word 1
181,READ_CHECK,rx_read,4,CH2,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 4 channel 2 word 2
182,READ_CHECK,rx_read,4,CH2,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 4 channel 2 word 3
183,POLL,rx_wait,5,,0x28C,,0x0000F000,0x00000000,masked_ne,0,100,ENG1_RX_FIFO_STAT,Wait until FRAMES[15:12] is nonzero
184,WRITE,rx_pop,5,CH0,0x294,0x00000001,,,,0,,ENG1_RXPOP_CH0,Pop frame 5 channel 0 into shared RX staging
185,READ_CHECK,rx_read,5,CH0,0x2A0,,0xFFFFFFFF,0x00000001,masked_eq,1,,ENG1_RXDATA0,Check frame 5 channel 0 word 0
186,READ_CHECK,rx_read,5,CH0,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 5 channel 0 word 1
187,READ_CHECK,rx_read,5,CH0,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 5 channel 0 word 2
188,READ_CHECK,rx_read,5,CH0,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 5 channel 0 word 3
