seq,operation,phase,address_offset,register,write_value,redundant_from_reset,read_mask,compare,read_expect,description
791,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x0000001b,ENG1_RXDATA1     bits 63:32
792,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
793,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
794,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
795,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
796,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
797,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
798,READ,F_the_stream_accounted_for_front_to_back,0x29c,ENG1_RX_FIFO_STAT,,,0x000f8000,==,0x00000000,"ENG1_RX_FIFO_STAT  every payload arrived, none left over"
799,READ,F_the_stream_accounted_for_front_to_back,0x184,ENG0_TX_INT_STAT,,,0x00000020,==,0x00000000,ENG0_TX_INT_STAT   no push was lost once the loop took over
800,READ,F_the_stream_accounted_for_front_to_back,0x2d4,ENG1_RX_INT_STAT,,,0x00000002,==,0x00000000,ENG1_RX_INT_STAT   and the receiver never overflowed either
801,READ,F_the_stream_accounted_for_front_to_back,0x1a0,ENG0_RX_FIFO_FLAGS,,,0x00000007,==,0x00000007,ENG0_RX_FIFO_FLAGS all three capture FIFOs empty
802,WRITE,G_teardown,0x290,ENG1_RX_CTRL,0x00000000,,,,,ENG1_RX_CTRL       capture off
803,WRITE,G_teardown,0x100,ENG0_CFG,0x00000000,,,,,ENG0_CFG           park the transmitter
804,WRITE,G_teardown,0x200,ENG1_CFG,0x00000000,,,,,ENG1_CFG           park the receiver
