seq,operation,phase,address_offset,register,write_value,redundant_from_reset,read_mask,compare,read_expect,description
122,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x0000000b,,,,,ENG0_TXDATA0     ch1 bits 31:0
123,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x0000000b,,,,,ENG0_TXDATA1     ch1 bits 63:32
124,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
125,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000013,,,,,ENG0_TXDATA0     ch2 bits 31:0
126,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000013,,,,,ENG0_TXDATA1     ch2 bits 63:32
127,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
128,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
129,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
130,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
131,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
132,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x0000000c,,,,,ENG0_TXDATA0     ch1 bits 31:0
133,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x0000000c,,,,,ENG0_TXDATA1     ch1 bits 63:32
134,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
135,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000014,,,,,ENG0_TXDATA0     ch2 bits 31:0
136,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000014,,,,,ENG0_TXDATA1     ch2 bits 63:32
137,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
138,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
139,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
140,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
141,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
142,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x0000000d,,,,,ENG0_TXDATA0     ch1 bits 31:0
143,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x0000000d,,,,,ENG0_TXDATA1     ch1 bits 63:32
144,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
145,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000015,,,,,ENG0_TXDATA0     ch2 bits 31:0
146,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000015,,,,,ENG0_TXDATA1     ch2 bits 63:32
147,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
148,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
149,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
150,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
151,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
152,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x0000000e,,,,,ENG0_TXDATA0     ch1 bits 31:0
153,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x0000000e,,,,,ENG0_TXDATA1     ch1 bits 63:32
154,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
155,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000016,,,,,ENG0_TXDATA0     ch2 bits 31:0
156,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000016,,,,,ENG0_TXDATA1     ch2 bits 63:32
157,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
158,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
159,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
160,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
161,WRITE,D_preload_payloads_0_15,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
162,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x0000000f,,,,,ENG0_TXDATA0     ch1 bits 31:0
163,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x0000000f,,,,,ENG0_TXDATA1     ch1 bits 63:32
164,WRITE,D_preload_payloads_0_15,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
165,WRITE,D_preload_payloads_0_15,0x154,ENG0_TXDATA0,0x00000017,,,,,ENG0_TXDATA0     ch2 bits 31:0
166,WRITE,D_preload_payloads_0_15,0x158,ENG0_TXDATA1,0x00000017,,,,,ENG0_TXDATA1     ch2 bits 63:32
167,WRITE,D_preload_payloads_0_15,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
168,WRITE,D_preload_payloads_0_15,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
169,READ,D_the_queue_is_full_what_firmware_sees,0x150,ENG0_TX_FIFO_FLAGS,,,0x00000f00,==,0x00000f00,ENG0_TX_FIFO_FLAGS all four TX FIFOs report FULL
170,READ,D_the_queue_is_full_what_firmware_sees,0x150,ENG0_TX_FIFO_FLAGS,,,0x0000000f,==,0x00000000,ENG0_TX_FIFO_FLAGS and none of them reports EMPTY
171,READ,D_the_queue_is_full_what_firmware_sees,0x14c,ENG0_TX_FIFO_STAT,,,0x0000001f,==,0x00000010,ENG0_TX_FIFO_STAT  channel 0 sits at the full depth
172,READ,D_the_queue_is_full_what_firmware_sees,0x14c,ENG0_TX_FIFO_STAT,,,0x01f00000,==,0x01000000,ENG0_TX_FIFO_STAT  FRAMES equals the depth: a whole queue of frames
173,READ,D_the_queue_is_full_what_firmware_sees,0x184,ENG0_TX_INT_STAT,,,0x00000020,==,0x00000000,ENG0_TX_INT_STAT   nothing has overflowed yet
174,WRITE,D_the_queue_is_full_what_firmware_sees,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     staging still accepts
175,WRITE,D_the_queue_is_full_what_firmware_sees,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     staging still accepts
176,WRITE_REJECTED,D_the_queue_is_full_what_firmware_sees,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,"ENG0_TXPUSH_CH0  rejected, queue is full"
177,WRITE,D_the_queue_is_full_what_firmware_sees,0x154,ENG0_TXDATA0,0xbaddf1f0,,,,,ENG0_TXDATA0     staging still accepts
178,WRITE,D_the_queue_is_full_what_firmware_sees,0x158,ENG0_TXDATA1,0xbaddf1f0,,,,,ENG0_TXDATA1     staging still accepts
179,WRITE_REJECTED,D_the_queue_is_full_what_firmware_sees,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,"ENG0_TXPUSH_CH1  rejected, queue is full"
180,WRITE,D_the_queue_is_full_what_firmware_sees,0x154,ENG0_TXDATA0,0xbaddf1f0,,,,,ENG0_TXDATA0     staging still accepts
181,WRITE,D_the_queue_is_full_what_firmware_sees,0x158,ENG0_TXDATA1,0xbaddf1f0,,,,,ENG0_TXDATA1     staging still accepts
182,WRITE_REJECTED,D_the_queue_is_full_what_firmware_sees,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,"ENG0_TXPUSH_CH2  rejected, queue is full"
183,WRITE_REJECTED,D_the_queue_is_full_what_firmware_sees,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,"ENG0_TXPUSH_CTL  rejected, queue is full"
184,READ,D_the_queue_is_full_what_firmware_sees,0x184,ENG0_TX_INT_STAT,,,0x00000020,==,0x00000020,ENG0_TX_INT_STAT   OVF latched: a push was lost
185,READ,D_the_queue_is_full_what_firmware_sees,0x14c,ENG0_TX_FIFO_STAT,,,0x0000001f,==,0x00000010,ENG0_TX_FIFO_STAT  still exactly full: the rejected word took no space
186,WRITE,D_the_queue_is_full_what_firmware_sees,0x184,ENG0_TX_INT_STAT,0x00000020,,,,,ENG0_TX_INT_STAT   W1C the OVF we just caused
187,READ,D_the_queue_is_full_what_firmware_sees,0x184,ENG0_TX_INT_STAT,,,0x00000020,==,0x00000000,ENG0_TX_INT_STAT   OVF cleared
188,WRITE,E_start,0x100,ENG0_CFG,0x00000091,,,,,"ENG0_CFG           TRI_IDLE|CK_IDLE|EN, master"
189,WRITE,E_start,0x290,ENG1_RX_CTRL,0x00004009,,,,,ENG1_RX_CTRL       EN|SLOAD framed|sample falling|LEN=64
190,WRITE,E_start,0x100,ENG0_CFG,0x00000093,,,,,"ENG0_CFG           +START, a SEPARATE write, and LAST"
191,POLL,E_the_link_is_up_check_the_clock_and_the_p,0x218,ENG1_SCLK_METER,,,0x01000000,==,0x01000000,ENG1_SCLK_METER    wait for VALID
192,POLL,F_pop_each_captured_word_refill_as_we_go,0x29c,ENG1_RX_FIFO_STAT,,,0x000f8000,!=,0x00000000,ENG1_RX_FIFO_STAT  wait for FRAMES != 0
193,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2a4,ENG1_RXPOP_CH0,0x00000001,,,,,ENG1_RXPOP_CH0     pop the framing wire
194,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000001,ENG1_RXDATA0     bits 31:0
195,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000000,ENG1_RXDATA1     bits 63:32
196,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
197,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
198,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
199,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
200,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
201,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
202,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2a8,ENG1_RXPOP_CH1,0x00000001,,,,,ENG1_RXPOP_CH1     pop channel 1
203,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000000,ENG1_RXDATA0     bits 31:0
204,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000000,ENG1_RXDATA1     bits 63:32
205,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
206,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
207,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
208,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
209,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
210,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
211,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2ac,ENG1_RXPOP_CH2,0x00000001,,,,,ENG1_RXPOP_CH2     pop channel 2
212,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000008,ENG1_RXDATA0     bits 31:0
213,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000008,ENG1_RXDATA1     bits 63:32
214,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
215,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
216,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
217,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
218,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
219,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
220,POLL,F_pop_each_captured_word_refill_as_we_go,0x150,ENG0_TX_FIFO_FLAGS,,,0x00000f00,==,0x00000000,ENG0_TX_FIFO_FLAGS wait for FULL == 0
221,WRITE,F_pop_each_captured_word_refill_as_we_go,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
222,WRITE,F_pop_each_captured_word_refill_as_we_go,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
223,WRITE,F_pop_each_captured_word_refill_as_we_go,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
224,WRITE,F_pop_each_captured_word_refill_as_we_go,0x154,ENG0_TXDATA0,0x00000010,,,,,ENG0_TXDATA0     ch1 bits 31:0
225,WRITE,F_pop_each_captured_word_refill_as_we_go,0x158,ENG0_TXDATA1,0x00000010,,,,,ENG0_TXDATA1     ch1 bits 63:32
226,WRITE,F_pop_each_captured_word_refill_as_we_go,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
227,WRITE,F_pop_each_captured_word_refill_as_we_go,0x154,ENG0_TXDATA0,0x00000018,,,,,ENG0_TXDATA0     ch2 bits 31:0
228,WRITE,F_pop_each_captured_word_refill_as_we_go,0x158,ENG0_TXDATA1,0x00000018,,,,,ENG0_TXDATA1     ch2 bits 63:32
229,WRITE,F_pop_each_captured_word_refill_as_we_go,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
230,WRITE,F_pop_each_captured_word_refill_as_we_go,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
231,POLL,F_pop_each_captured_word_refill_as_we_go,0x29c,ENG1_RX_FIFO_STAT,,,0x000f8000,!=,0x00000000,ENG1_RX_FIFO_STAT  wait for FRAMES != 0
232,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2a4,ENG1_RXPOP_CH0,0x00000001,,,,,ENG1_RXPOP_CH0     pop the framing wire
233,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000001,ENG1_RXDATA0     bits 31:0
234,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000000,ENG1_RXDATA1     bits 63:32
235,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
236,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
237,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
238,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
239,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
240,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
241,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2a8,ENG1_RXPOP_CH1,0x00000001,,,,,ENG1_RXPOP_CH1     pop channel 1
242,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000001,ENG1_RXDATA0     bits 31:0
243,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000001,ENG1_RXDATA1     bits 63:32
244,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
245,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
246,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
247,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
248,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
249,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
250,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2ac,ENG1_RXPOP_CH2,0x00000001,,,,,ENG1_RXPOP_CH2     pop channel 2
251,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000009,ENG1_RXDATA0     bits 31:0
252,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000009,ENG1_RXDATA1     bits 63:32
253,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
254,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
255,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
256,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
257,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
258,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
259,POLL,F_pop_each_captured_word_refill_as_we_go,0x150,ENG0_TX_FIFO_FLAGS,,,0x00000f00,==,0x00000000,ENG0_TX_FIFO_FLAGS wait for FULL == 0
260,WRITE,F_pop_each_captured_word_refill_as_we_go,0x154,ENG0_TXDATA0,0x00000001,,,,,ENG0_TXDATA0     ch0 bits 31:0
261,WRITE,F_pop_each_captured_word_refill_as_we_go,0x158,ENG0_TXDATA1,0x00000000,,,,,ENG0_TXDATA1     ch0 bits 63:32
262,WRITE,F_pop_each_captured_word_refill_as_we_go,0x170,ENG0_TXPUSH_CH0,0x00000000,,,,,ENG0_TXPUSH_CH0  commit ch0
263,WRITE,F_pop_each_captured_word_refill_as_we_go,0x154,ENG0_TXDATA0,0x00000011,,,,,ENG0_TXDATA0     ch1 bits 31:0
264,WRITE,F_pop_each_captured_word_refill_as_we_go,0x158,ENG0_TXDATA1,0x00000011,,,,,ENG0_TXDATA1     ch1 bits 63:32
265,WRITE,F_pop_each_captured_word_refill_as_we_go,0x174,ENG0_TXPUSH_CH1,0x00000000,,,,,ENG0_TXPUSH_CH1  commit ch1
266,WRITE,F_pop_each_captured_word_refill_as_we_go,0x154,ENG0_TXDATA0,0x00000019,,,,,ENG0_TXDATA0     ch2 bits 31:0
267,WRITE,F_pop_each_captured_word_refill_as_we_go,0x158,ENG0_TXDATA1,0x00000019,,,,,ENG0_TXDATA1     ch2 bits 63:32
268,WRITE,F_pop_each_captured_word_refill_as_we_go,0x178,ENG0_TXPUSH_CH2,0x00000000,,,,,ENG0_TXPUSH_CH2  commit ch2
269,WRITE,F_pop_each_captured_word_refill_as_we_go,0x17c,ENG0_TXPUSH_CTL,0x00000040,,,,,ENG0_TXPUSH_CTL  LEN=64 LOOP=0
270,POLL,F_pop_each_captured_word_refill_as_we_go,0x29c,ENG1_RX_FIFO_STAT,,,0x000f8000,!=,0x00000000,ENG1_RX_FIFO_STAT  wait for FRAMES != 0
271,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2a4,ENG1_RXPOP_CH0,0x00000001,,,,,ENG1_RXPOP_CH0     pop the framing wire
272,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000001,ENG1_RXDATA0     bits 31:0
273,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000000,ENG1_RXDATA1     bits 63:32
274,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
275,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
276,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
277,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
278,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
279,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
280,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2a8,ENG1_RXPOP_CH1,0x00000001,,,,,ENG1_RXPOP_CH1     pop channel 1
281,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x00000002,ENG1_RXDATA0     bits 31:0
282,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x00000002,ENG1_RXDATA1     bits 63:32
283,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
284,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
285,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
286,READ,F_pop_each_captured_word_refill_as_we_go,0x2c4,ENG1_RXDATA5,,,0xffffffff,==,0x00000000,"ENG1_RXDATA5     above LEN-1, must be zero"
287,READ,F_pop_each_captured_word_refill_as_we_go,0x2c8,ENG1_RXDATA6,,,0xffffffff,==,0x00000000,"ENG1_RXDATA6     above LEN-1, must be zero"
288,READ,F_pop_each_captured_word_refill_as_we_go,0x2cc,ENG1_RXDATA7,,,0xffffffff,==,0x00000000,"ENG1_RXDATA7     above LEN-1, must be zero"
289,WRITE,F_pop_each_captured_word_refill_as_we_go,0x2ac,ENG1_RXPOP_CH2,0x00000001,,,,,ENG1_RXPOP_CH2     pop channel 2
290,READ,F_pop_each_captured_word_refill_as_we_go,0x2b0,ENG1_RXDATA0,,,0xffffffff,==,0x0000000a,ENG1_RXDATA0     bits 31:0
291,READ,F_pop_each_captured_word_refill_as_we_go,0x2b4,ENG1_RXDATA1,,,0xffffffff,==,0x0000000a,ENG1_RXDATA1     bits 63:32
292,READ,F_pop_each_captured_word_refill_as_we_go,0x2b8,ENG1_RXDATA2,,,0xffffffff,==,0x00000000,"ENG1_RXDATA2     above LEN-1, must be zero"
293,READ,F_pop_each_captured_word_refill_as_we_go,0x2bc,ENG1_RXDATA3,,,0xffffffff,==,0x00000000,"ENG1_RXDATA3     above LEN-1, must be zero"
294,READ,F_pop_each_captured_word_refill_as_we_go,0x2c0,ENG1_RXDATA4,,,0xffffffff,==,0x00000000,"ENG1_RXDATA4     above LEN-1, must be zero"
